localTime,refTime,TPS,TxnCount,BlockCount
21 Jul 2025 10:46:48,00:00:01:36,1,140,3
21 Jul 2025 10:46:49,00:00:01:37,1,140,3
21 Jul 2025 10:46:50,00:00:01:38,1,140,3
21 Jul 2025 10:46:51,00:00:01:39,1,140,3
21 Jul 2025 10:46:52,00:00:01:40,1,140,3
21 Jul 2025 10:46:53,00:00:01:41,1,140,3
21 Jul 2025 10:46:54,00:00:01:42,1,140,3
21 Jul 2025 10:46:55,00:00:01:43,1,140,3
21 Jul 2025 10:46:56,00:00:01:44,1,140,3
21 Jul 2025 10:46:57,00:00:01:45,1,140,3
21 Jul 2025 10:46:58,00:00:01:46,1,140,3
21 Jul 2025 10:46:59,00:00:01:47,1,140,3
21 Jul 2025 10:47:00,00:00:01:48,1,140,3
21 Jul 2025 10:47:01,00:00:01:49,1,140,3
21 Jul 2025 10:47:02,00:00:01:50,1,140,3
21 Jul 2025 10:47:03,00:00:01:51,1,140,3
21 Jul 2025 10:47:04,00:00:01:52,1,140,3
21 Jul 2025 10:47:05,00:00:01:53,1,140,3
21 Jul 2025 10:47:06,00:00:01:54,1,140,3
21 Jul 2025 10:47:07,00:00:01:55,1,140,3
21 Jul 2025 10:47:08,00:00:01:56,1,140,3
21 Jul 2025 10:47:09,00:00:01:57,1,140,3
21 Jul 2025 10:47:10,00:00:01:58,1,140,3
21 Jul 2025 10:47:11,00:00:01:59,1,140,3
21 Jul 2025 10:47:12,00:00:02:00,1,140,3
21 Jul 2025 10:47:13,00:00:02:01,1,140,3
21 Jul 2025 10:47:14,00:00:02:02,1,140,3
21 Jul 2025 10:47:15,00:00:02:03,1,140,3
21 Jul 2025 10:47:16,00:00:02:04,1,140,3
21 Jul 2025 10:47:17,00:00:02:05,1,140,3
21 Jul 2025 10:47:18,00:00:02:06,1,140,3
21 Jul 2025 10:47:19,00:00:02:07,1,140,3
21 Jul 2025 10:47:20,00:00:02:08,1,140,3
21 Jul 2025 10:47:21,00:00:02:09,1,140,3
21 Jul 2025 10:47:22,00:00:02:10,1,140,3
21 Jul 2025 10:47:23,00:00:02:11,1,140,3
21 Jul 2025 10:47:24,00:00:02:12,1,140,3
21 Jul 2025 10:47:25,00:00:02:13,1,140,3
21 Jul 2025 10:47:26,00:00:02:14,1,140,3
21 Jul 2025 10:47:27,00:00:02:15,1,140,3
21 Jul 2025 10:47:28,00:00:02:16,1,140,3
21 Jul 2025 10:47:29,00:00:02:17,1,140,3
21 Jul 2025 10:47:30,00:00:02:18,1,140,3
21 Jul 2025 10:47:31,00:00:02:19,1,140,3
21 Jul 2025 10:47:32,00:00:02:20,0,140,3
21 Jul 2025 10:47:33,00:00:02:21,0,140,3
21 Jul 2025 10:47:34,00:00:02:22,0,140,3
21 Jul 2025 10:47:35,00:00:02:23,0,140,3
21 Jul 2025 10:47:36,00:00:02:24,0,140,3
21 Jul 2025 10:47:37,00:00:02:25,1,240,4
21 Jul 2025 10:47:38,00:00:02:26,1,240,4
21 Jul 2025 10:47:39,00:00:02:27,1,240,4
21 Jul 2025 10:47:40,00:00:02:28,1,240,4
21 Jul 2025 10:47:41,00:00:02:29,1,240,4
21 Jul 2025 10:47:42,00:00:02:30,1,240,4
21 Jul 2025 10:47:43,00:00:02:31,1,240,4
21 Jul 2025 10:47:44,00:00:02:32,1,240,4
21 Jul 2025 10:47:45,00:00:02:33,1,240,4
21 Jul 2025 10:47:46,00:00:02:34,1,240,4
21 Jul 2025 10:47:47,00:00:02:35,1,240,4
21 Jul 2025 10:47:48,00:00:02:36,1,240,4
21 Jul 2025 10:47:49,00:00:02:37,1,240,4
21 Jul 2025 10:47:50,00:00:02:38,1,240,4
21 Jul 2025 10:47:51,00:00:02:39,1,240,4
21 Jul 2025 10:47:52,00:00:02:40,1,240,4
21 Jul 2025 10:47:53,00:00:02:41,1,240,4
21 Jul 2025 10:47:54,00:00:02:42,1,240,4
21 Jul 2025 10:47:55,00:00:02:43,1,240,4
21 Jul 2025 10:47:56,00:00:02:44,1,240,4
21 Jul 2025 10:47:57,00:00:02:45,1,240,4
21 Jul 2025 10:47:58,00:00:02:46,1,240,4
21 Jul 2025 10:47:59,00:00:02:47,1,240,4
21 Jul 2025 10:48:00,00:00:02:48,1,240,4
21 Jul 2025 10:48:01,00:00:02:49,1,240,4
21 Jul 2025 10:48:02,00:00:02:50,1,240,4
21 Jul 2025 10:48:03,00:00:02:51,1,240,4
21 Jul 2025 10:48:04,00:00:02:52,1,240,4
21 Jul 2025 10:48:05,00:00:02:53,1,240,4
21 Jul 2025 10:48:06,00:00:02:54,1,240,4
21 Jul 2025 10:48:07,00:00:02:55,1,240,4
21 Jul 2025 10:48:08,00:00:02:56,1,240,4
21 Jul 2025 10:48:09,00:00:02:57,1,240,4
21 Jul 2025 10:48:10,00:00:02:58,1,240,4
21 Jul 2025 10:48:11,00:00:02:59,1,240,4
21 Jul 2025 10:48:12,00:00:03:00,1,240,4
21 Jul 2025 10:48:13,00:00:03:01,1,240,4
21 Jul 2025 10:48:14,00:00:03:02,1,240,4
21 Jul 2025 10:48:15,00:00:03:03,1,240,4
21 Jul 2025 10:48:16,00:00:03:04,1,240,4
21 Jul 2025 10:48:17,00:00:03:05,1,240,4
21 Jul 2025 10:48:18,00:00:03:06,1,240,4
21 Jul 2025 10:48:19,00:00:03:07,1,240,4
21 Jul 2025 10:48:20,00:00:03:08,1,240,4
21 Jul 2025 10:48:21,00:00:03:09,1,240,4
21 Jul 2025 10:48:22,00:00:03:10,1,240,4
21 Jul 2025 10:48:23,00:00:03:11,1,240,4
21 Jul 2025 10:48:24,00:00:03:12,1,240,4
21 Jul 2025 10:48:25,00:00:03:13,1,240,4
21 Jul 2025 10:48:26,00:00:03:14,1,240,4
21 Jul 2025 10:48:27,00:00:03:15,1,240,4
21 Jul 2025 10:48:28,00:00:03:16,1,240,4
21 Jul 2025 10:48:29,00:00:03:17,1,240,4
21 Jul 2025 10:48:30,00:00:03:18,1,240,4
21 Jul 2025 10:48:31,00:00:03:19,1,240,4
21 Jul 2025 10:48:32,00:00:03:20,1,240,4
21 Jul 2025 10:48:33,00:00:03:21,1,240,4
21 Jul 2025 10:48:34,00:00:03:22,1,240,4
21 Jul 2025 10:48:35,00:00:03:23,1,339,5
21 Jul 2025 10:48:36,00:00:03:24,1,339,5
21 Jul 2025 10:48:37,00:00:03:25,1,339,5
21 Jul 2025 10:48:38,00:00:03:26,1,339,5
21 Jul 2025 10:48:39,00:00:03:27,1,339,5
21 Jul 2025 10:48:40,00:00:03:28,1,339,5
21 Jul 2025 10:48:41,00:00:03:29,1,339,5
21 Jul 2025 10:48:42,00:00:03:30,1,339,5
21 Jul 2025 10:48:43,00:00:03:31,1,339,5
21 Jul 2025 10:48:44,00:00:03:32,1,339,5
21 Jul 2025 10:48:45,00:00:03:33,1,339,5
21 Jul 2025 10:48:46,00:00:03:34,1,339,5
21 Jul 2025 10:48:47,00:00:03:35,1,339,5
21 Jul 2025 10:48:48,00:00:03:36,1,339,5
21 Jul 2025 10:48:49,00:00:03:37,1,339,5
21 Jul 2025 10:48:50,00:00:03:38,1,339,5
21 Jul 2025 10:48:51,00:00:03:39,1,339,5
21 Jul 2025 10:48:52,00:00:03:40,1,339,5
21 Jul 2025 10:48:53,00:00:03:41,1,339,5
21 Jul 2025 10:48:54,00:00:03:42,1,339,5
21 Jul 2025 10:48:55,00:00:03:43,1,339,5
21 Jul 2025 10:48:56,00:00:03:44,1,339,5
21 Jul 2025 10:48:57,00:00:03:45,1,339,5
21 Jul 2025 10:48:58,00:00:03:46,1,339,5
21 Jul 2025 10:48:59,00:00:03:47,1,339,5
21 Jul 2025 10:49:00,00:00:03:48,1,339,5
21 Jul 2025 10:49:01,00:00:03:49,1,339,5
21 Jul 2025 10:49:02,00:00:03:50,1,339,5
21 Jul 2025 10:49:03,00:00:03:51,1,339,5
21 Jul 2025 10:49:04,00:00:03:52,1,339,5
21 Jul 2025 10:49:05,00:00:03:53,1,339,5
21 Jul 2025 10:49:06,00:00:03:54,1,339,5
21 Jul 2025 10:49:07,00:00:03:55,1,339,5
21 Jul 2025 10:49:08,00:00:03:56,1,339,5
21 Jul 2025 10:49:09,00:00:03:57,1,339,5
21 Jul 2025 10:49:10,00:00:03:58,1,339,5
21 Jul 2025 10:49:11,00:00:03:59,1,339,5
21 Jul 2025 10:49:12,00:00:04:00,1,339,5
21 Jul 2025 10:49:13,00:00:04:01,1,339,5
21 Jul 2025 10:49:14,00:00:04:02,1,339,5
21 Jul 2025 10:49:15,00:00:04:03,1,339,5
21 Jul 2025 10:49:16,00:00:04:04,1,339,5
21 Jul 2025 10:49:17,00:00:04:05,1,339,5
21 Jul 2025 10:49:18,00:00:04:06,1,339,5
21 Jul 2025 10:49:19,00:00:04:07,1,339,5
21 Jul 2025 10:49:20,00:00:04:08,1,339,5
21 Jul 2025 10:49:21,00:00:04:09,1,339,5
21 Jul 2025 10:49:22,00:00:04:10,1,339,5
21 Jul 2025 10:49:23,00:00:04:11,1,339,5
21 Jul 2025 10:49:24,00:00:04:12,1,339,5
21 Jul 2025 10:49:25,00:00:04:13,1,339,5
21 Jul 2025 10:49:26,00:00:04:14,1,339,5
21 Jul 2025 10:49:27,00:00:04:15,1,339,5
21 Jul 2025 10:49:28,00:00:04:16,1,339,5
21 Jul 2025 10:49:29,00:00:04:17,1,339,5
21 Jul 2025 10:49:30,00:00:04:18,1,339,5
21 Jul 2025 10:49:31,00:00:04:19,1,339,5
21 Jul 2025 10:49:32,00:00:04:20,1,439,6
21 Jul 2025 10:49:33,00:00:04:21,1,439,6
21 Jul 2025 10:49:34,00:00:04:22,1,439,6
21 Jul 2025 10:49:35,00:00:04:23,1,439,6
21 Jul 2025 10:49:36,00:00:04:24,1,439,6
21 Jul 2025 10:49:37,00:00:04:25,1,439,6
21 Jul 2025 10:49:38,00:00:04:26,1,439,6
